sent_time,raw_chat_message,processed_chat_message,cluster_num,x,y
00:00:00.204000,WHEN DOES STREAM START,stream start,8,0.2691055,1.0188053
00:00:00.311000,HE ISN'T LIVE,isn't live,4,0.36532363,1.2392542
00:00:00.332000,CHILL GUYS BE PATIENT,chill guys patient,4,0.13373606,0.73834616
00:00:00.335000,ahhhhh,a\1\1,7,-0.91697055,-0.030375445
00:00:00.386000,where is my son,son,3,-1.0489905,-0.61150104
00:00:00.387000,E,e,3,-0.85561234,-2.110423
00:00:00.405000,LATE OMEGALUL LATE OMEGALUL LATE OMEGALUL LATE OMEGALUL LATE OMEGALUL LATE OMEGALUL,late OMEGALUL,4,0.008807884,0.75225854
00:00:00.411000,AM HOLDING HANDS,holding hands,4,0.09328295,1.0887587
00:00:00.419000,pepeD pepeD,peped,7,-0.9021636,-0.4983675
00:00:00.619000,I have my drink and popcorn ready quackySmile,drink popcorn ready,4,0.37036592,1.3260133
00:00:00.680000,AHHHHH,a\1\1,7,-0.91697055,-0.030375443
00:00:00.762000,YALL IM SO EXCITED WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,yall im excited w\1\1,8,0.8863254,2.0526037
00:00:00.900000,hellooo,hell\1\1,2,-0.87025815,-0.5411029
00:00:00.910000,QUACKITY WE ARE WAITING,quackity waiting,4,-0.075266264,0.34679335
00:00:01.006000,HES NOT LIVE,hes live,8,0.28883427,1.0569851
00:00:01.050000,WHY ARE YALL GOOMG HES NOT LIVE LMFAO,yall hes live lmfao,8,0.6081624,1.3582975
00:00:01.076000,AHH THANK U MODS HOLD HANDS,ahh thank u mods hold hands,4,1.2871603,1.4769524
00:00:01.086000,he’s not live,’ s live,4,0.95812035,2.137831
00:00:01.098000,HOLD HANDS,hold hands,4,-0.05762244,1.2617679
00:00:01.119000,But.... he’s not live yet what-,URL ’ s live -,6,1.477994,1.8840451
00:00:01.151000,GOODLUCK CHAT,goodluck chat,2,-0.15853769,-0.042840764
00:00:01.171000,OMG,omg,7,-0.9166415,0.37547088
00:00:01.235000,BYEEEEEE OFFLINEEE HOLDD HANDSSS,by\1\1 offlin\1\1 holdd hand\1\1,6,-0.49653363,-0.29549307
00:00:03.343000,AHHHHHH,a\1\1,7,-0.91697055,-0.030375443
00:00:03.363000,HES NOT LIVE???,hes live ?,8,0.59405607,1.1081772
00:00:03.370000,AHHHHHHHHHHH,a\1\1,7,-0.91697055,-0.030375443
00:00:03.378000,Hi I’m new here -,hi ’ m new -,4,1.7145625,2.2726004
00:00:03.391000,Is he live ??,live ?,6,0.0502568,-0.31840888
00:00:03.508000,BYE OFFLINE CHAT <3 <3,bye offline chat <3,6,0.44529828,0.03223596
00:00:03.519000,MIOCF',',9,-0.7629269,-0.48596868
00:00:03.525000,OMG IWJEDBCVIUWBVIWBEOVB,omg,7,-0.9166415,0.37547088
00:00:03.548000,YOOOOO,y\1\1,0,-0.9623362,-0.23067601
00:00:03.556000,YOOOOO,y\1\1,0,-0.9623362,-0.23067601
00:00:03.560000,HES LIVE,hes live,8,0.28883427,1.0569851
00:00:03.609000,OG GOD,og god,4,-0.27974054,0.39254987
00:00:03.623000,monkaW IM SCARED,monkaw im scared,8,0.7230125,2.4426856
00:00:03.646000,OH MY GOD HES LIVE,oh god hes live,4,0.68828857,1.3427857
00:00:04.019000,OMG,omg,7,-0.9166415,0.37547088
00:00:04.030000,LIVE,live,2,-0.6035101,-0.6769438
00:00:04.038000,HE WILL START SOON,start soon,4,0.00146855,1.4644192
00:00:04.040000,HES LIE,hes lie,8,-0.05108768,1.999292
00:00:04.044000,WOOOOOOOO,w\1\1,0,-0.9365789,-0.4140073
00:00:04.049000,IM SO HAPPY GUYS ITS HAPPENING,im happy guys happening,8,0.8270454,2.260398
00:00:04.076000,ITS STARTINGGG,startin\1\1,3,-0.8949107,-0.57897645
00:00:04.081000,HOLDS HANDS,holds hands,4,-0.0042427587,1.0511913
00:00:04.081000,WAIT ARE WE LIVE OR NOT,wait live,4,0.20348467,0.66036934
00:00:04.083000,AJHHHHHHHHHHHHHHHH,aj\1\1,7,-0.9312859,-0.7722595
00:00:04.147000,OH LORD,oh lord,1,-0.3096791,0.6826065
00:00:04.152000,yo,yo,0,-0.93356466,-0.14488056
00:00:04.158000,kaylaylayla subscribed with Prime.,subscribed prime .,5,1.448878,-1.551945
00:00:04.174000,OH BYE OFFLINE,oh bye offline,4,0.20014232,0.59225386
00:00:06.315000,HI OFFLINE CHAT,hi offline chat,4,0.37670246,0.28120375
00:00:06.322000,Rociooo,roci\1\1,3,-0.89403164,-0.6419768
00:00:06.328000,AHHH OKAY BYE,a\1\1 okay bye,4,-0.2252164,0.67325544
00:00:06.349000,YALLLLL,ya\1\1,0,-0.9084166,-0.14556608
00:00:06.363000,AHHHHHHHHHHHHH,a\1\1,7,-0.91697055,-0.030375443
00:00:06.370000,BYE OFFLINE,bye offline,4,-0.09450312,0.12888707
00:00:06.376000,"HE""S LIVEE",""" s livee",6,0.5014208,0.56001395
00:00:06.392000,SCREAMS,screams,9,-0.8694472,0.57136303
00:00:06.395000,HES LIVE,hes live,8,0.28883427,1.0569851
00:00:06.447000,HES LIVE WTF,hes live wtf,8,0.52685726,1.1879517
00:00:06.472000,OMG OMG OMG OMG OMGK,omg,7,-0.9166415,0.37547088
00:00:06.482000,OHHHHHHH,o\1\1,7,-0.96386194,0.11763835
00:00:06.485000,AYO,ayo,0,-0.9438724,-0.27197897
00:00:06.540000,YOOOOOOOOOOOO,y\1\1,0,-0.9623362,-0.23067601
00:00:07.024000,LIVE,live,2,-0.6035101,-0.6769438
00:00:07.025000,IT'S HAPPENING,it's happening,8,0.20126106,1.3266908
