sent_time,chat_message,cluster_num,x,y
00:00:22.030000,pog,1,-0.9960442,-0.010206554
00:00:22.410000,\1\1 hello,8,-0.41928375,-1.2868997
00:00:22.416000,hi !,8,-0.23769423,-1.3979748
00:00:22.827000,he\1\1,6,-1.0498865,-0.841872
00:00:22.899000,h\1\1,6,-0.9812609,-0.7538617
00:00:23.155000,h\1\1,6,-0.9812609,-0.7538617
00:00:23.236000,h\1\1,6,-0.9812609,-0.7538617
00:00:23.474000,i sur neck ok,5,1.0118703,-1.1453726
00:00:23.670000,how are u,15,1.3491615,1.300674
00:00:23.858000,h\1\1,6,-0.9812609,-0.7538617
00:00:24,hell\1\1,6,-1.047774,-1.1831256
00:00:24.135000,hello :) !,8,-0.08711003,-1.3470548
00:00:24.141000,hi !,8,-0.23769423,-1.3979746
00:00:24.175000,like the cardigan \1\1,0,0.7932212,0.5677414
00:00:24.254000,whats on his neck monkaS,0,1.0732062,0.47995552
00:00:24.762000,what happened ?,0,0.602068,0.24684322
00:00:25.064000,hii,6,-1.0089227,-1.3444159
00:00:25.278000,h\1\1 bro,14,-0.5858002,-0.76234686
00:00:25.330000,dig the sweater,9,0.56754804,0.95539916
00:00:25.641000,hey,1,-0.8624938,-0.014734271
00:00:26.263000,hi bub ! how are you today :),2,1.6626905,-0.629772
00:00:26.557000,hell\1\1,6,-1.047774,-1.1831256
00:00:26.684000,hi,1,-0.86891156,-0.3875266
00:00:26.774000,h\1\1,6,-0.9812609,-0.7538617
00:00:26.919000,why on ur neck,15,0.9641071,0.9692603
00:00:27.077000,h\1\1,6,-0.9812609,-0.7538617
00:00:27.164000,h\1\1,6,-0.9812609,-0.7538617
00:00:27.315000,hello,1,-0.9108303,-0.45763686
00:00:27.336000,hello,1,-0.9108303,-0.45763686
00:00:27.850000,why a bandaid,0,0.665554,0.2276394
00:00:27.981000,what happened,9,0.3866796,1.2381878
00:00:28.045000,oh ?,14,-0.27877757,-0.3575307
00:00:28.076000,yo,1,-1.0266684,-0.46980113
00:00:28.195000,hello !,8,-0.25256678,-1.400702
00:00:28.567000,he\1\1,6,-1.0498865,-0.841872
00:00:28.757000,handsome,7,-0.75729907,0.47880596
00:00:29,hi,1,-0.86891156,-0.3875266
00:00:29.018000,hell\1\1,6,-1.047774,-1.1831256
00:00:29.085000,h\1\1,6,-0.9812609,-0.7538617
00:00:29.278000,hey ! what happened to your neck ? :(,2,1.6120232,-0.7221194
00:00:29.536000,hello,1,-0.9108303,-0.45763686
00:00:29.929000,h\1\1,6,-0.9812609,-0.7538617
00:00:30.018000,h\1\1,6,-0.9812609,-0.7538617
00:00:30.150000,h\1\1 !,8,-0.38318133,-1.6068476
00:00:30.315000,h\1\1,6,-0.9812609,-0.7538617
00:00:30.335000,is that a band aid,15,1.3016257,0.668266
00:00:30.417000,hello,1,-0.9108303,-0.45763686
00:00:30.477000,hi everyone,12,-0.07758018,0.09928679
00:00:30.690000,hi,1,-0.86891156,-0.3875266
00:00:30.716000,hi ~,8,-0.3269331,-1.2929754
00:00:31.756000,hello,1,-0.9108303,-0.45763686
00:00:31.989000,he\1\1,6,-1.0498865,-0.841872
00:00:32.090000,cute bandaid <3,14,0.0497225,-0.8294283
00:00:32.500000,hi syk,8,-0.48974198,-1.1195525
00:00:32.573000,woahh handsom\1\1,6,-0.9478108,-1.0522017
00:00:32.609000,he\1\1\1\1,6,-1.0477854,-1.0807682
00:00:32.716000,hi syk,8,-0.48974198,-1.1195525
00:00:32.771000,hi,1,-0.86891156,-0.3875266
00:00:32.799000,h\1\1 !,8,-0.38318133,-1.6068476
00:00:32.878000,ha\1\1,6,-1.047295,-1.3322926
00:00:32.930000,hi,1,-0.86891156,-0.3875266
00:00:32.991000,hi,1,-0.86891156,-0.3875266
00:00:33,h\1\1,6,-0.9812609,-0.7538617
00:00:33.067000,monkaS,7,-0.7755362,0.7081964
00:00:33.142000,hi,1,-0.86891156,-0.3875266
00:00:33.173000,hello !,8,-0.25256678,-1.400702
